day,btc,eth
2016-05-18,455.56,13.18
2016-05-19,438.38,14.9
2016-05-20,445.65,14.17
2016-05-23,445.67,13.61
2016-05-24,446.99,12.77
2016-05-25,451.49,12.61
2016-05-26,454.97,12.47
2016-05-27,471.27,10.98
2016-05-28,523.25,12.02
2016-05-29,525.22,12.34
2016-05-30,532.55,12.88
2016-05-31,531.34,14.16
2016-06-01,534.84,13.93
2016-06-02,537.87,14.03
2016-06-03,571.25,13.98
2016-06-04,576.31,13.95
2016-06-05,575.17,14.04
2016-06-06,586.77,14.22
2016-06-07,579.71,14.52
2016-06-08,583.21,14.64
2016-06-09,577.46,14.71
2016-06-10,580.31,13.91
2016-06-11,609.5,14.1
2016-06-12,677.86,15.58
2016-06-13,706.01,17.89
2016-06-14,684.95,18.79
2016-06-15,698.78,18.42
2016-06-16,769.76,20.99
2016-06-17,752.26,15.65
2016-06-18,758.99,11.64
2016-06-19,768.76,12.35
2016-06-20,703.12,11.81
2016-06-21,667.66,13.89
2016-06-22,604.5,13.18
2016-06-23,631.1,13.81
2016-06-24,669.98,14.55
2016-06-25,673.71,14.37
2016-06-26,638.56,14.02
2016-06-27,657.87,14.1
2016-06-28,648.43,12.23
2016-06-29,639.42,12.74
2016-06-30,673.49,12.49
2016-07-01,678.19,12.34
2016-07-02,704.95,12.09
2016-07-03,663.55,12.02
2016-07-04,681.98,11.48
2016-07-05,669.87,10.6
2016-07-06,678.79,10.61
2016-07-07,641.97,10.08
2016-07-08,667.33,11.43
2016-07-09,657.61,11.01
2016-07-10,652.44,11.02
2016-07-11,650.97,10.72
2016-07-12,666.56,10.57
2016-07-13,655.34,10.49
2016-07-14,661.65,11.62
2016-07-15,667.48,11.99
2016-07-16,666.32,11.8
2016-07-17,680.0,11.33
2016-07-18,675.5,11.05
2016-07-19,673.98,11.75
2016-07-20,666.92,12.5
2016-07-21,667.28,12.76
2016-07-22,654.67,14.83
2016-07-23,657.5,14.52
2016-07-24,661.0,12.78
2016-07-25,657.79,13.91
2016-07-26,654.06,12.0
2016-07-27,657.35,13.1
2016-07-28,657.4,12.93
2016-07-29,657.0,12.84
2016-07-30,655.87,12.49
2016-07-31,626.97,11.99
2016-08-01,605.2,10.95
2016-08-02,537.47,8.78
2016-08-03,573.36,10.68
2016-08-04,587.5,11.32
2016-08-05,583.0,11.18
2016-08-06,591.71,11.01
2016-08-07,595.14,10.99
2016-08-08,591.48,11.34
2016-08-09,586.45,12.28
2016-08-10,594.94,12.21
2016-08-11,587.91,11.73
2016-08-12,587.74,11.81
2016-08-13,586.45,11.61
2016-08-14,574.99,11.28
2016-08-15,567.79,11.3
2016-08-16,579.02,11.18
2016-08-17,574.45,10.82
2016-08-18,574.09,10.77
2016-08-19,573.67,10.77
2016-08-20,581.87,11.3
2016-08-21,581.29,11.21
2016-08-22,585.2,11.1
2016-08-23,582.39,11.0
2016-08-24,578.47,11.01
2016-08-25,575.58,11.34
2016-08-26,579.29,11.28
2016-08-27,570.84,11.18
2016-08-28,575.41,11.01
2016-08-29,573.21,10.95
2016-08-30,574.95,11.21
2016-08-31,572.89,11.7
2016-09-01,573.02,12.05
2016-09-02,576.21,12.15
2016-09-03,600.91,11.88
2016-09-04,611.92,11.77
2016-09-05,605.69,11.76
2016-09-06,612.99,11.71
2016-09-07,615.21,11.58
2016-09-08,627.97,11.39
2016-09-09,622.07,11.64
2016-09-10,623.74,12.21
2016-09-11,607.94,11.65
2016-09-12,606.74,11.86
2016-09-13,608.63,11.92
2016-09-14,608.43,11.91
2016-09-15,605.44,11.96
2016-09-16,607.93,12.58
2016-09-17,607.92,12.79
2016-09-18,611.4,12.64
2016-09-19,608.6,13.17
2016-09-20,605.6,14.56
2016-09-21,597.0,13.76
2016-09-22,596.21,13.2
2016-09-23,602.96,13.37
2016-09-24,603.68,12.97
2016-09-25,601.67,13.12
2016-09-26,607.08,12.84
2016-09-27,605.71,13.09
2016-09-28,605.04,13.32
2016-09-29,605.99,13.11
2016-09-30,608.99,13.23
2016-10-01,615.65,13.22
2016-10-02,612.4,13.28
